Epsilon,SW,PM,Optimal
1.0,0.3783600902345697,0.37754066879814535,0.37754046354048026
1.25,0.35019539354198864,0.34864513533394575,0.3486445462072145
1.5,0.323399272103394,0.32082130082460697,0.3208203821812049
1.75,0.2981300869918112,0.29421497216298875,0.2942141638200869
2.0,0.274497772491912,0.26894142136999516,0.26894091502432727
2.25,0.25256531802038085,0.24508501313237174,0.24508498782051752
2.5,0.23235252024849348,0.2227001388253089,0.2226999680008201
2.75,0.21384137869325315,0.20181322226037873,0.20181304658220098
3.0,0.1969824784285004,0.1824255238063564,0.18242533207882494
3.25,0.18170175117759818,0.1645164628965631,0.1645163008440652
3.5,0.16790710649258872,0.14804719803168948,0.14804506683494384
3.75,0.15549455212663152,0.1329642401978292,0.13296403797302947
4.0,0.14435355455526153,0.1192029220221176,0.1192029448495637
4.25,0.1343715104224894,0.10669059394565122,0.10668861573621422
4.5,0.1254372977108035,0.09534946489910961,0.09534949290083156
4.75,0.1174439478383494,0.08509904500702026,0.0850989886420857
5.0,0.1102905272941759,0.07585818002124356,0.07585813967518845
5.25,0.10388334322240783,0.06754669113962923,0.06754677593688942
5.5,0.09813659624027947,0.06008665017400755,0.060086616347379815
5.75,0.09297260060330105,0.05340332979982426,0.05340332979982392
6.0,0.08832168100484947,0.0474258731775668,0.04742587312941292
6.25,0.0841218403796058,0.042087727915618815,0.04208811666883594
6.5,0.08031827671528469,0.03732688734412942,0.03732698167286032
6.75,0.07686281085943492,0.033085978388704085,0.03308537802986512
7.0,0.07371327272720388,0.029312230751356413,0.02931220151173838
7.25,0.07083288072539516,0.02595735719779696,0.025957357103136777
7.5,0.06818963878516283,0.022977369910025688,0.022977053482458012
7.75,0.06575576707522812,0.02033235334265865,0.020323448099415373
8.0,0.0635071760453854,0.01798620996209161,0.01796270919802096
